"","name","price","socket","form_factor","max_memory","memory_slots","color"
"240","Asus PRIME A520M-A II/CSM",79.99,"AM4","Micro ATX",128,4,"Silver / Black"
"241","MSI MPG B650 CARBON WIFI",458.47,"AM5","ATX",192,4,"Black"
"242","ASRock B450M/AC",82.38,"AM4","Micro ATX",64,4,"Black"
"243","ASRock A520M-ITX/ac",119.17,"AM4","Mini ITX",64,2,"Black / Silver"
"244","Gigabyte B650M AORUS ELITE AX ICE",NA,"AM5","Micro ATX",192,4,"Silver"
"245","MSI Z790 GAMING PRO WIFI",189.99,"LGA1700","ATX",192,4,"Black"
"246","Gigabyte B650 UD AC",169.99,"AM5","ATX",192,4,"Black / Gray"
"247","Asus PRIME B760M-A WIFI D4",188.54,"LGA1700","Micro ATX",128,4,"Silver / Black"
"248","Gigabyte Z390 AORUS PRO WIFI",298,"LGA1151-2","ATX",128,4,"Black / Silver"
"249","ASRock B550 Pro4",119.67,"AM4","ATX",128,4,"Silver / Black"
"250","Gigabyte H610I",119.99,"LGA1700","Mini ITX",64,2,"Black"
"251","MSI MAG B660 TOMAHAWK WIFI DDR4",235.49,"LGA1700","ATX",128,4,"Black / Silver"
"252","MSI MPG Z790 EDGE WIFI",291.94,"LGA1700","ATX",192,4,"Silver / Black"
"253","Asus PRIME H610I-PLUS D4-CSM",112.99,"LGA1700","Mini ITX",64,2,"Silver / Black"
"254","ASRock B760M Steel Legend WiFi",159.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"255","Asus PRIME B660-PLUS D4",149.02,"LGA1700","ATX",128,4,"Silver / Black"
"256","MSI MAG B550M MORTAR MAX WIFI",149.99,"AM4","Micro ATX",128,4,"Silver / Black"
"257","ASRock B760M Pro RS",NA,"LGA1700","Micro ATX",192,4,"Silver / Black"
"258","Asus ROG STRIX X570-E GAMING WIFI II",459,"AM4","ATX",128,4,"Black"
"259","Asus TUF GAMING B550-PLUS",157,"AM4","ATX",128,4,"Black"
"260","ASRock B650E PG-ITX WIFI",289.99,"AM5","Mini ITX",96,2,"Black / Red"
"261","Asus TUF GAMING B650-PLUS",260.54,"AM5","ATX",128,4,"Black / Orange"
"262","Asus PRIME X670-P",221.02,"AM5","ATX",192,4,"Silver / Black"
"263","MSI PRO B550M-P GEN3",103.6,"AM4","Micro ATX",128,4,"Black"
"264","MSI B450 TOMAHAWK",NA,"AM4","ATX",64,4,"Black / Silver"
"265","ASRock B760M PG Riptide",129.99,"LGA1700","Micro ATX",192,4,"Black / Blue"
"266","Gigabyte B760M AORUS ELITE AX",174.99,"LGA1700","Micro ATX",192,4,"Black / Silver"
"267","Asus PRIME H510M-K",129.06,"LGA1200","Micro ATX",64,2,"Black / Silver"
"268","ASRock Z690 PG Riptide",124.99,"LGA1700","ATX",128,4,"Black / Silver"
"269","MSI Z490-A PRO",329,"LGA1200","ATX",128,4,"Black / Silver"
"270","MSI PRO B760M-A WIFI",169.99,"LGA1700","Micro ATX",192,4,"Black"
"271","Asus PRIME H610M-K D4",107.39,"LGA1700","Micro ATX",64,2,"Silver / Black"
"272","Gigabyte B450M DS3H V2",102.84,"AM4","Micro ATX",128,4,"Black"
"273","MSI MEG Z690 ACE",223.99,"LGA1700","EATX",192,4,"Black / Gold"
"274","ASRock B450 Steel Legend",99.99,"AM4","ATX",64,4,"Black / Silver"
"275","ASRock B560M-HDV",129.99,"LGA1200","Micro ATX",64,2,"Silver / Black"
"276","Asus ROG STRIX Z590-E GAMING WIFI",349.63,"LGA1200","ATX",128,4,"Black"
"277","MSI MPG Z790 CARBON WIFI",439.56,"LGA1700","ATX",192,4,"Black"
"278","Gigabyte B760M C",139.99,"LGA1700","Micro ATX",192,4,"Brown / Gray"
